id;Q1- What is your gender?;Q2- Which age group do you belong to?;City;Country;Center (e.g: Univeristy of …., Institute of ….,….);Type (Public/Private);Q3- What is the highest level of education you have completed?;Q4- How many years have you worked in sports statistics in academia?;Q5- Wich best describes your profile?;Q6- Do you currently belong to a sports statistics research group?;Research group name;Link of center or research group;Number of members of research group;Total number of citations in Google Scholar;Total number of citations in Google Scholar since 2018;Total number of citations acording to H-index;Total number of citations acording to H-index since 2018;Number of citations of the article with most citations;Q7- What sport have you worked on the most on a statistical level? (Select all that apply);Number of sports studied
1;Male;30-44;Leeds;England;University of Leeds Beckett;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;ISI Special Interest Group on Sports Statistics;https://www.isi-web.org/committee/special-interest-group-sports-statistics;26;266;229;9;8;51;Soccer;1
2;Male;45-59;Saint Paul;United States;Macalester College;Private;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;622;350;14;11;94;Baseball;1
3;Male;60 +;Bowling Green;United States;University of Bowling Green State;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;9843;2339;34;16;4023;Baseball;1
4;Male;18-29;Barcelona;Spain;University of Pompeu Fabra;Public;Doctorate or PhD;3-4 years;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;72;71;5;5;24;Basketball,Soccer;2
5;Male;45-59;Bergamo ;Italy;University of Bergamo;Public;Doctorate or PhD;3-4 years;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;561;320;12;10;114;Tennis,Cycling,Shot Put;3
6;Female;30-44;Gangodawila;India;University of Sri Jayewardenepura;Public;Doctorate or PhD;Less than 1 year;Part-time sports statistician in academia and part-time in the sports industry;No;No research group ;No research group ;0;106;100;6;6;39;Cricket;2
7;Male;30-44;Northampton;United States;Smith College;Private;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;1997;1566;18;17;336;Baseball;1
8;Male;30-44;Atlanta;United States;University of Emory;Private;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;633;586;10;10;178;American Football;1
9;Male;30-44;Barcelona;Spain;University International of Catalonia;Private;Doctorate or PhD;3-4 years;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;144;143;5;5;63;Running;1
10;Male;30-44;Burnaby;Canada;University of Simon Fraser ;Public;Doctorate or PhD;5 years or more;Academic sports statistician with years of expertise and contributions, but currently working in the sports industry;Yes;Zelus Analytics;https://zelusanalytics.com/;59;2342;1759;27;24;185;Basketball,Soccer;2
